City Name,CBG Code,Year,Median Household Income,Population Above Poverty,Population Below Poverty,Population With A Ratio Of Income To Poverty Level Below 0.5,Population With A Ratio Of Income To Poverty Level Between 0.5 And 0.99
Phoenix city,40131071023,2021,43490,1749,275,125,150
Phoenix city,40131072021,2021,60474,2491,264,215,49
Phoenix city,40131072022,2021,59917,1812,271,77,194
Phoenix city,40131073001,2021,60667,1788,152,149,3
Phoenix city,40131073002,2021,52326,808,329,55,274
Phoenix city,40131073003,2021,61250,969,142,142,0
Phoenix city,40131073004,2021,28113,1524,546,533,13
Phoenix city,40131075001,2021,167212,979,16,0,16
Phoenix city,40131075002,2021,163705,1089,43,25,18
Phoenix city,40131075003,2021,72500,1265,105,41,64
Phoenix city,40131076011,2021,29808,589,40,23,17
Phoenix city,40131076012,2021,54479,1130,167,129,38
Phoenix city,40131076013,2021,58292,1007,85,50,35
Phoenix city,40131076021,2021,128125,1444,6,6,0
Phoenix city,40131076022,2021,59028,1262,109,18,91
Phoenix city,40131077001,2021,204974,936,77,77,0
Phoenix city,40131077002,2021,95263,605,4,3,1
Phoenix city,40131077003,2021,34644,853,71,0,71
Phoenix city,40131077004,2021,70197,718,28,12,16
Phoenix city,40131078001,2021,144519,808,0,0,0
Phoenix city,40131078002,2021,90078,1466,81,32,49
Phoenix city,40131079002,2021,205833,1613,335,335,0
Phoenix city,40131079003,2021,54464,898,127,127,0
Phoenix city,40131080001,2021,226333,1066,8,0,8
Phoenix city,40131080002,2021,250000,1646,87,87,0
Phoenix city,40131081001,2021,99500,2193,60,50,10
Phoenix city,40131082001,2021,80956,987,34,0,34
Phoenix city,40131082002,2021,50500,636,82,67,15
Phoenix city,40131082003,2021,100500,1325,67,40,27
Phoenix city,40131083011,2021,168083,884,49,24,25
Phoenix city,40131083012,2021,128672,1300,164,164,0
Phoenix city,40131083013,2021,73106,1208,91,60,31
Phoenix city,40131083021,2021,91667,1042,29,29,0
Phoenix city,40131083022,2021,62188,1504,171,136,35
Phoenix city,40131084001,2021,25775,379,13,0,13
Phoenix city,40131084002,2021,98929,1029,48,48,0
Phoenix city,40131084003,2021,63480,851,426,255,171
Phoenix city,40131084004,2021,162574,1647,82,40,42
Phoenix city,40131084005,2021,81029,751,226,142,84
Phoenix city,40131085011,2021,46894,755,211,17,194
Phoenix city,40131085012,2021,67155,1548,102,45,57
Phoenix city,40131085021,2021,49420,420,37,0,37
Phoenix city,40131085022,2021,108438,726,0,0,0
Phoenix city,40131085023,2021,93097,1102,106,85,21
Phoenix city,40131086011,2021,47983,1129,648,317,331
Phoenix city,40131086021,2021,41785,1559,161,137,24
Phoenix city,40131086022,2021,51628,1638,459,459,0
Phoenix city,40131086023,2021,56958,1136,169,117,52
Phoenix city,40131086024,2021,55125,1601,148,60,88
Phoenix city,40131088021,2021,51338,754,262,14,248
Phoenix city,40131088022,2021,45870,288,28,3,25
Phoenix city,40131089012,2021,51757,600,92,0,92
Phoenix city,40131089013,2021,85000,856,187,69,118
Phoenix city,40131089021,2021,36250,675,296,60,236
Phoenix city,40131089022,2021,44355,1455,523,355,168
Phoenix city,40131089023,2021,51365,817,303,87,216
Phoenix city,40131089024,2021,76375,714,46,39,7
